year,songtitle,artistname,timesignature,timesignature_confidence,loudness,tempo,tempo_confidence,key,key_confidence,energy,pitch,Top10
2010,This Is the House That Doubt Built,A Day to Remember,3,0.853,-4.262,91.525,0.953,11,0.453,0.966655566,0.024,0
2010,Sticks & Bricks,A Day to Remember,4,1,-4.051,140.048,0.921,10,0.469,0.984709516,0.025,0
2010,All I Want,A Day to Remember,4,1,-3.571,160.512,0.489,2,0.209,0.989900438,0.026,0
2010,It's Complicated,A Day to Remember,4,1,-3.815,97.525,0.794,1,0.632,0.939207164,0.013,0
2010,2nd Sucks,A Day to Remember,4,0.788,-4.707,140.053,0.286,6,0.483,0.987737586,0.063,0
2010,Better Off This Way,A Day to Remember,4,1,-3.807,160.366,0.347,4,0.627,0.979952984,0.038,0
2010,All Signs Point to Lauderdale,A Day to Remember,4,0.968,-4.114,149.967,0.273,10,0.715,0.982961471,0.026,0
2010,Out of Time,A Day to Remember,4,0.861,-3.683,160.328,0.83,5,0.423,0.979079832,0.033,0
2010,If I Leave,A Day to Remember,4,0.622,-4.967,155.112,0.018,9,0.751,0.988699089,0.027,0
2010,Whataya Want From Me,Adam Lambert,4,0.938,-15.557,95.904,0.929,11,0.602,0.42590947,0.004,1
2010,An Exercise in Humility,Analog Rebellion,3,0.625,-7.726,200.005,0.133,9,0.279,0.888763431,0.047,0
2010,Phillip Garrido,Analog Rebellion,3,0.937,-7.738,135.939,0.349,1,0,0.771629587,0.009,0
2010,I Am a Ghost (Artifact),Analog Rebellion,3,0.802,-12.009,104.933,0.703,2,0.284,0.311863237,0.004,0
2010,An Onest Thank You (Credits & Genres),Analog Rebellion,3,0.708,-11.689,104.478,0.33,0,0.774,0.363526453,0.011,0
2010,Brain ___ Heart (I Need to Know),Analog Rebellion,4,0.823,-7.302,85.521,0.443,9,0.92,0.700095888,0.006,0
2010,A Particularly Long Elevator Shaft,Analog Rebellion,4,0.986,-8.218,117.967,0.955,7,0.796,0.625587363,0.006,0
2010,A Real Clever Trick Fur a Bear,Analog Rebellion,4,1,-9.57,99.997,0.795,7,0.74,0.550270591,0.003,0
2010,You've Been Had (Machine),Analog Rebellion,4,0.844,-8.475,95.445,0.484,9,0.565,0.75498503,0.008,0
2010,Sombrero Negro,Analog Rebellion,4,0.656,-7.461,106.206,0.458,7,0.798,0.807021874,0.003,0
2010,In the Style of a Tight Rope Walker,Analog Rebellion,4,0.802,-9.346,77.497,0.407,9,0.507,0.771167815,0.021,0
2010,Marla Singer,Analog Rebellion,4,0.79,-7.58,80.045,0.261,6,0.014,0.710764824,0.008,0
2010,The New School Shooter,Analog Rebellion,4,1,-10.248,126.989,0.724,5,0,0.435554565,0.001,0
2010,The Parasite Life,Analog Rebellion,4,0.902,-9.831,117.233,0.416,1,0.747,0.683718731,0.013,0
2010,We Are The World 25: For Haiti,Artists For Haiti,4,1,-6.218,75.018,0.232,4,0.709,0.711870928,0.008,1
2010,Magic,B.o.B,4,1,-4.281,82.543,0.948,6,0.018,0.931892866,0.008,1
2010,Airplanes,B.o.B,4,1,-4.632,93.041,0.943,9,0,0.87592999,0.009,1
2010,Nothin' On You,B.o.B,4,1,-4.31,104.015,1,10,0.458,0.884819781,0.007,1
2010,3,Britney Spears,4,1,-4.88,129.933,0.476,1,0.429,0.658579365,0.004,1
2010,Canadian Ten,Butch Walker,3,0.93,-8.419,70.179,0.215,4,0.769,0.444829472,0.008,0
2010,They Don't Know What We Know,Butch Walker,3,0.582,-7.102,114.697,0.414,4,0.307,0.654856781,0.015,0
2010,Trash Day,Butch Walker,4,0.806,-5.032,119.078,0.921,7,0.72,0.890082753,0.024,0
2010,Pretty Melody,Butch Walker,4,1,-5.973,113.805,0.779,0,0.668,0.754953675,0.012,0
2010,Don't You Think Someone Should Take You Home,Butch Walker,4,0.96,-11.216,79.677,0.784,6,0.099,0.390779642,0.003,0
2010,Stripped Down Version,Butch Walker,4,0.995,-7.199,116.031,0.884,7,0.378,0.693676515,0.005,0
2010,Temporary Title,Butch Walker,4,0.969,-4.787,138.109,0.869,0,0.739,0.861017651,0.013,0
2010,She Likes Hair Bands,Butch Walker,4,1,-4.86,148.002,0.043,10,0.753,0.796396625,0.012,0
2010,House of Cards,Butch Walker,4,0.967,-4.451,133.437,0.964,0,0.594,0.926592184,0.022,0
2010,Days/Months/Years,Butch Walker,4,0.919,-4.986,120.689,0.843,0,0.777,0.859646146,0.03,0
2010,Be Good Until Then,Butch Walker,4,0.965,-12.804,132.985,0.168,1,0.446,0.206600633,0.005,0
2010,Sexy Chick,David Guetta,4,0.26,-14.254,130.03,0.76,2,0.135,0.243849657,0.004,1
2010,Xibir,Dimmu Borgir,4,0.592,-10.715,75.002,0.012,10,0,0.424720379,0.017,0
